ticker,BF B UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
1/3/2000,0.655
1/4/2000,-1.8438
1/5/2000,0.7735
1/6/2000,0.4386
1/7/2000,1.31
1/10/2000,-1.6164
1/11/2000,-1.3143
1/12/2000,-0.7769
1/13/2000,3.2438
1/14/2000,-0.5417
1/18/2000,-1.5251
1/19/2000,0.885
1/20/2000,1.7544
1/21/2000,-0.3233
1/24/2000,-0.7568
1/25/2000,-1.4161
1/26/2000,-1.105
1/27/2000,-1.0056
1/28/2000,-0.7901
1/31/2000,1.8203
2/1/2000,-0.8939
2/2/2000,0.1127
2/3/2000,2.1396
2/4/2000,-5.2922
2/7/2000,0.5821
2/8/2000,-1.3889
2/9/2000,-0.7042
2/10/2000,0
2/11/2000,-2.0095
2/14/2000,0.4825
2/15/2000,0.8403
2/16/2000,-2.5
2/17/2000,-2.9304
2/18/2000,1.1321
2/22/2000,0.2488
2/23/2000,-0.3722
2/24/2000,-4.7323
2/25/2000,-1.4379
2/28/2000,0
2/29/2000,1.061
3/1/2000,-1.1811
3/2/2000,-1.992
3/3/2000,-0.813
3/6/2000,-2.459
3/7/2000,-3.7815
3/8/2000,0.8675
3/9/2000,1.8895
3/10/2000,-2.5678
3/13/2000,-0.5857
3/14/2000,3.2401
3/15/2000,6.4194
3/16/2000,6.0322
3/17/2000,1.1378
3/20/2000,-1.875
3/21/2000,-0.2548
3/22/2000,0.5109
3/23/2000,2.6684
3/24/2000,-1.1139
3/27/2000,1.7522
3/28/2000,2.337
3/29/2000,0.4808
3/30/2000,3.5885
3/31/2000,0.5774
4/3/2000,5.2813
4/4/2000,2.7263
4/5/2000,1.38
4/6/2000,-0.733
4/7/2000,-1.2658
4/10/2000,-1.0684
4/11/2000,1.0799
4/12/2000,2.2436
4/13/2000,-0.5225
4/14/2000,-4.0966
4/17/2000,-0.9858
4/18/2000,-0.885
4/19/2000,-1.2277
4/20/2000,2.2599
4/24/2000,3.0939
4/25/2000,-2.8939
4/26/2000,0.9934
4/27/2000,-2.7322
4/28/2000,-1.9101
5/1/2000,0.4582
5/2/2000,0.114
5/3/2000,1.139
5/4/2000,2.5901
5/5/2000,-1.8661
5/8/2000,1.6779
5/9/2000,4.0704
5/10/2000,0.2114
5/11/2000,0.5274
5/12/2000,-2.7282
5/15/2000,1.1866
5/16/2000,-0.2132
5/17/2000,-4.4872
5/18/2000,1.2304
5/19/2000,-0.3315
5/22/2000,2.439
5/23/2000,0.2165
5/24/2000,2.4838
5/25/2000,-2.529
